what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1323035184212
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1323035184222
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1323035184223
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1323035184233
os,sysinfo,,,"macosx",1323035184238
arch,sysinfo,,,"x86_64",1323035184238
ws,sysinfo,,,"cocoa",1323035184238
locale,sysinfo,,,"en_US",1323035184238
processors,sysinfo,,,"8",1323035184238
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1323035184238
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-10M3527",1323035184238
java.specification.name,sysinfo,,,"Java Platform API Specification",1323035184238
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1323035184238
java.specification.version,sysinfo,,,"1.6",1323035184238
java.vendor,sysinfo,,,"Apple Inc.",1323035184238
java.version,sysinfo,,,"1.6.0_29",1323035184238
java.vm.info,sysinfo,,,"mixed mode",1323035184238
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1323035184238
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1323035184238
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1323035184238
java.vm.specification.version,sysinfo,,,"1.0",1323035184238
java.vm.vendor,sysinfo,,,"Apple Inc.",1323035184238
java.vm.version,sysinfo,,,"20.4-b02-402",1323035184238
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1323035184262
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1323035184308
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1323035186340
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1323035194442
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323035194443
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323035199418
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323035237413
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1323035237594
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1323035237692
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323035237988
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323035238104
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.edit.text.openLocalFile",1323035238118
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1323035238440
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1323035238489
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1323035238541
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323036586834
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1323036586898
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323036591826
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1323036596603
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323036598793
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323036752561
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1323036996069
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323037627520
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1323037627893
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1323041661549
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323041661720
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323041733063
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323041733286
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323041733944
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323041735969
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323041736040
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323042251733
