what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322938263588
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322938270637
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322938450545
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322938457371
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322938533140
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322938537354
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322938538053
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322938547206
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322938552009
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322938552708
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322938567161
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1322938580649
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322938589475
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322938599069
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322938600259
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322938610482
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322938612860
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322938627906
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322938629633
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322938794285
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322938798832
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322938834602
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322938846293
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322938878234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322938904751
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322938906584
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322938927401
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322938929775
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322938930402
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322938966353
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322939031000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322939236971
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322939240555
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322942582572
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322942584109
