what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894163375
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894164423
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894164716
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894200645
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894228459
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894269643
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322894301446
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894303197
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894331350
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322894346452
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894347569
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894486821
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322894552598
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894558237
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894575840
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322894586685
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894588429
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894611588
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322894620540
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894621689
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894651640
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322894655203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894658288
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894692367
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322894694771
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322894695104
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322894695362
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322894695897
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322894696226
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322894696689
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322894696907
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322894697369
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322894697723
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322894697985
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322894698234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322894698465
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322894698691
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322894699442
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322894699881
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322894700842
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322894701542
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322894703402
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322894703796
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322894706659
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322894707849
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322894710135
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894713427
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894727603
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322894732559
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1322894750164
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322894756353
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322894763957
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894765047
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894780795
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322894784606
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894785319
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894797054
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322894799917
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894800822
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894828684
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1322894832028
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322894834973
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894836477
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894859275
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322894869204
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894870213
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894918912
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894949666
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894961990
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322894966889
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894969024
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322894993885
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322895019123
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322895019913
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322895035227
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322895055398
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322895057352
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322895071287
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322895081679
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322895083686
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322895142170
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322895160155
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322895162021
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322895198800
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322895201563
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322895242419
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322895248595
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322895250060
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322895269041
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1322895289544
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322895296033
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1322895330586
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322895332024
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322895345486
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322895385581
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322895387174
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322895402216
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322895413890
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322895416068
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322895431598
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322895433945
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322895435493
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322895449247
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322895467895
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322895470492
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322895567625
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322895606087
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322895607502
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322895613021
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322895615414
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322895616360
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322896012923
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322896017866
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322896553234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322896642985
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322896645467
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322896666659
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322896715502
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322896717957
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322896720082
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322896739562
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322896762659
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322896782932
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1322896788161
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322896794975
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322896797219
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322896798620
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322896818244
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322896826643
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322896830124
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322896842461
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322896854441
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896876731
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896877035
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896877242
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896877501
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896878720
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896879003
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896879419
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896879674
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896879866
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896880098
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896880283
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896880459
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896880794
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896881034
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896881226
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896881412
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896881571
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896881732
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896882231
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896882314
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896882398
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896882489
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896882566
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896884357
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896884946
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896885309
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896885547
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896886110
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896886244
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896886556
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896886866
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896887081
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896887300
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896887546
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896887757
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896887948
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896888162
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896888644
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896888957
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896889480
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896889992
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896890481
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896890842
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896891178
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896891465
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896891801
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896892955
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896893442
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322896894283
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322896900576
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322896903698
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322896915038
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322896924207
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322896927022
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322896947950
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322896958267
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322896967099
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322897063794
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322897071409
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322897077492
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322897088672
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322897091392
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322897093321
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322897113209
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322897163918
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322897166060
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322897313301
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322897320850
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322897323830
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322897339459
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322897347324
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322897349353
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322897539511
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322897572069
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322897610325
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322897612377
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322897614872
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322897629615
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322897636961
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322897640297
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322897699248
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322897730303
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322897733497
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322897748965
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322897760086
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322897761039
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322897777316
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322897794450
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322897795651
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322897831542
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322897844869
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322897868247
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322897909039
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322897920627
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322897933768
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322897944571
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1322897951091
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322897954125
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322897980240
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322897983248
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322897985965
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322897995201
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322898044998
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322898069628
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322898098080
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322898102425
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322898105945
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322898109641
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322898112175
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322898114157
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322898127097
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1322898136155
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322898143586
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1322898157325
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322898158770
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322898161798
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322898163683
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322898183791
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322898200941
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322898203526
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322898218195
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322898221237
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322898222158
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322898264082
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322898271046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322898271966
